dialect,standard
今日はしんけん寒いなあ,今日は本当に寒いなあ
今日は寒いけん、外に出られんわ,今日は寒いから、外に出られないわ
明日は雨が降るっち思うわ,明日は雨が降ると思うわ
もうご飯食べよんの？,もうご飯食べてるの？
どこ行きよんの？,どこに行っているの？
なんしちょん？,何しているの？
元気しちょった？,元気にしていた？
ほら行くで！,ほら、行くよ！
あんたも来よな,あなたも来てね
じゃあまたなあ,じゃあ、またね
はよ寝らんといけんよ,早く寝ないといけないよ
これ安くならん？,これ安くならない？
その魚、どんくらいしよん？,その魚、いくらしているの？
あの店、もう閉まっちょんかえ？,あの店、もう閉まっているの？
そこ曲がったら早いで,そこを曲がったら早いよ
バス来ちょんで,バスが来ているよ
まだ駅に着かんの？,まだ駅に着かないの？
一緒行こうや,一緒に行こうよ
ほんと美味しかったわあ,本当に美味しかったわ
そんなん知らんわ,そんなの知らないわ
びっくりしたわ,驚いたわ
眠くてたまらんわ,眠くてたまらないわ
そげえ当てにしてると、あだむねをつくぞ,そんなに当てにしてると、がっかりするよ
あーん、財布忘れたけん、なんぼか貸しちくれん？,えーっと、財布を忘れたから、いくらか貸してくれない？
そげなあいい考えは捨つることじゃ,そんな青い考えは捨てることだ
新入社員はうちの長男とあいおいじゃ,新入社員はうちの長男と同じくらいの年齢だ
あんたは若いのに、立派にあいすろうなあ,あなたは若いのに、立派に上手に人の相手をするなあ
あいたよ、頼まれた買い物を忘れちょった,しまった、頼まれた買い物を忘れていた
あいな甘いみかんをどこでこうちきたんかえ？,あんな甘いみかんをどこで買ってきたのかい？
あええバナナも、置いちょくときいのうなる,青いバナナも、置いておけば黄色くなる
酔って帰ったら母ちゃんからこづかれて、あおじんがでっけた,酔って帰ったら母ちゃんからこづかれて、青あざができた
あおしいちょらんで、勉強せんか,ぼうっとしてないで、勉強しないか
スケート場で滑って、あおのきに倒れた,スケート場で滑って、仰向けに倒れた
あおのきおよぎのスタートは後ろ向きで,背泳ぎのスタートは後ろ向きで
田んぼの稲があおると、夏の到来を感じる,田んぼの稲が深緑になると夏の到来を感じる
まああがらんせ、お茶でん飲みなながら話そうえ,まあ上がってください、お茶でも飲みながら話そうよ
あがりばなでけつまづいち、ちゃぶ台で頭を打った,上がり端で蹴躓いて、ちゃぶ台で頭を打った
おれじゃあ、玄関をあきい,おれだ、玄関を開けろ
いやごめん、あけちくりい,いやごめん、開けてくれ
友達におはぎをあぎい,友達におはぎをあげろ
候補地をあぎい,候補地をあげて
チンパンジーはニホンザルより、あぎがなげえ,チンパンジーはニホンザルより、あごがなげえ
あぎりあぎり食べちょらんで、はよう宿題せんか,だらだら食べてないで、はやく宿題しないか
盆休みに孫が3人も来て、あくさうった,盆休みに孫が3人も来て、扱いに苦労した
年があくると旅行に行くけん、家をあくる予定じゃ,年があけると旅行に行くから、家をあける予定だ
