dialect,standard
あーん,えーっと
あーん,あのう
あいい,青い
あいおい,同い年
あいすろう,上手に人の相手をする
あいたよ,しまった
あいな,あんな
あいな,あのような
あええ,青い
あおじん,青あざ
あおしい,ぼうっとする
あおしい,上の空
あおしいちょらんで,ぼうっとしてないで
あおのき,仰向け
あおのきに倒れる,仰向けに倒れる
あおる,青く色気づく
あがらんせ,上がってください
あがらんせ,上がりませんか
あがりばな,上り口
あがりばな,上り端
あきい,開けろ
あぎい,あげろ
あぎがなげえ,あごが長い
あぎりあぎり,だらだら
あくさうつ,扱いに苦労する
あくさうつ,持て余す
あくる,あける
あぐる,あげる
あげえある,あんな感じだ
あげえある,あんな調子だ
あげえあるんで,あんな感じだよ
あげくのさんぱち,挙句の果て
あげな,あんな
こげな,こんな
そげな,そんな
あけなんこ,ぶっちゃけ
あけはたくる,開け放つ
あごし,おしゃべりな人
あごたん,おしゃべり
あごたん,口先
あごたんのじょう,口先ばかり
あごでえた,疲れた
あごでえた,きつかった
あごんじょう,口先ばかり
あさっぱち,朝早く
あさまんくち,朝
あさまんくちの散歩,朝の散歩
あさんつうから,朝早くから
あじろしい,味がある
あじろしい,うまくできている
あしんはら,足の腹
あすなさ,明日の朝
あすんあさ,明日の朝
あだあし,無駄足
あたで,急に
あたまがうつ,頭痛がする
あたりくりまわす,さわりまくる
あたる,さわる
あっきい,あそこに
あったれえ,もったいない
あっちあられん,到底あり得ない
あっちんほう,あっちの方
こっちんほう,こっちの方
あっとここ,ところどころ
あっぱい,美しい
あっぱい,きれいな
あっぱん,遊ばない
あてえなる,後になる
さきいなる,先になる
あてこすり,マッチ
あてならん,当てにならない
あてんぽか,あてずっぽう
あど,かかと
あときびがわりい,後で思い出して気味が悪い
あどのけもむしれん,到底及ばない
あどばね,泥はね
あねがか,姉さん女房
あねじょ,姉さん
あねじょ,年上の女性
あばかる,収まる
あぼ,もち
あまされん,あなどれない
あまめ,ごきぶり
あまる,落雷する
あめえ,甘い
あめがた,飴
あやくろしい,不器用だ
あやくろしい,不確かだ
あゆる,落下する
あらきい,手洗い
あらきい,粗暴な
あらぎもとる,度肝を抜く
あらまし,性格が粗雑
あらまし,行動が粗雑
あらるっか,あり得るか
ありしこ,あるだけ全部
ありどん,あの人たち
ありょみよ,あれを見ろ
あれと,あれだって
あれと,あんなのだって
あんがすえる,もたつく
あんげ,あっち
こんげ,こっち
あんげこんげ,あっちこっち
あんし,あの人
こんし,この人
そんし,その人
あんたげ,あなたの家
あんたどう,あんたたち
あんぴょうねえ,不安だ
あんぴょうねえ,頼りない
いあたり,結局
いあたり,やっぱり
いいあんべえ,いい塩梅
いいえなこと,とんでもないこと
いいくじ,苦情
いいくれえ,いい加減
いいくれえ,無責任な
いいころ,たくさん
いいころ,十分
いいちこ,いいですとも
